"OCL3",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","0.0","5","5","0.6666666666666666","5","0.5","5","0.4","5","0.0","5","5","0.6666666666666666","5","0.5","5","0.4","5","0.0","5","5","0.6666666666666666","5","0.5","5","0.4","5","0.0","5","5","0.6666666666666666","5","0.5","5","0.4","5"
"0","Attributes","0.2","1","1","0.6666666666666666","1","0.6153846153846154","1","0.47058823529411764","1","0.6153846153846154","1","1","0.6666666666666666","1","0.6153846153846154","1","0.47058823529411764","1","0.23076923076923078","1","1","0.6666666666666666","1","0.6153846153846154","1","0.47058823529411764","1","0.48038446141526137","1","1","0.6666666666666666","1","0.6153846153846154","1","0.47058823529411764","1"
"0","Class","0.07692307692307693","3","3","0.6666666666666666","3","0.8","3","0.5714285714285714","3","0.5517241379310345","2","2","0.6666666666666666","2","0.8","2","0.5714285714285714","2","0.10344827586206896","2","2","0.6666666666666666","2","0.8","2","0.5714285714285714","2","0.3216337604513384","2","2","0.6666666666666666","2","0.8","2","0.5714285714285714","2"
"0","Package","0.020618556701030927","4","4","0.3333333333333333","4","0.4","4","0.2222222222222222","4","0.515","3","3","0.3333333333333333","3","0.4","3","0.2222222222222222","3","0.03","3","3","0.3333333333333333","3","0.4","3","0.2222222222222222","3","0.1732050807568877","4","4","0.3333333333333333","4","0.4","4","0.2222222222222222","4"
"0","StrongReferences","0.11764705882352941","2","2","0.6666666666666666","2","0.5333333333333333","2","0.42105263157894735","2","0.29166666666666663","4","4","0.6666666666666666","4","0.5333333333333333","4","0.42105263157894735","4","1.6665000166650003E-5","4","4","0.6666666666666666","4","0.5333333333333333","4","0.42105263157894735","4","0.2886751345948129","3","3","0.6666666666666666","3","0.5333333333333333","3","0.42105263157894735","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
"OCL4",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","0.0","5","5","1.0","5","0.125","5","0.125","5","0.0","5","5","1.0","5","0.125","5","0.125","5","0.0","5","5","1.0","5","0.125","5","0.125","5","0.0","5","5","1.0","5","0.125","5","0.125","5"
"0","Attributes","0.2","1","1","1.0","1","0.15384615384615385","1","0.15384615384615385","1","0.6153846153846154","1","1","1.0","1","0.15384615384615385","1","0.15384615384615385","1","0.23076923076923078","1","1","1.0","1","0.15384615384615385","1","0.15384615384615385","1","0.48038446141526137","1","1","1.0","1","0.15384615384615385","1","0.15384615384615385","1"
"0","Class","0.07692307692307693","3","3","1.0","3","0.2","3","0.2","3","0.5517241379310345","2","2","1.0","2","0.2","2","0.2","2","0.10344827586206896","2","2","1.0","2","0.2","2","0.2","2","0.3216337604513384","2","2","1.0","2","0.2","2","0.2","2"
"0","Package","0.020618556701030927","4","4","1.0","4","0.2","4","0.2","4","0.515","3","3","1.0","3","0.2","3","0.2","3","0.03","3","3","1.0","3","0.2","3","0.2","3","0.1732050807568877","4","4","1.0","4","0.2","4","0.2","4"
"0","StrongReferences","0.11764705882352941","2","2","1.0","2","0.13333333333333333","2","0.13333333333333333","2","0.29166666666666663","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4","1.6665000166650003E-5","4","4","1.0","4","0.13333333333333333","4","0.13333333333333333","4","0.2886751345948129","3","3","1.0","3","0.13333333333333333","3","0.13333333333333333","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
"OCL7",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","0.0","5","5","1.0","5","0.25","5","0.25","5","0.0","5","5","1.0","5","0.25","5","0.25","5","0.0","5","5","1.0","5","0.25","5","0.25","5","0.0","5","5","1.0","5","0.25","5","0.25","5"
"0","Attributes","0.2","1","1","1.0","1","0.3076923076923077","1","0.3076923076923077","1","0.6153846153846154","1","1","1.0","1","0.3076923076923077","1","0.3076923076923077","1","0.23076923076923078","1","1","1.0","1","0.3076923076923077","1","0.3076923076923077","1","0.48038446141526137","1","1","1.0","1","0.3076923076923077","1","0.3076923076923077","1"
"0","Class","0.07692307692307693","3","3","0.5","3","0.2","3","0.16666666666666666","3","0.5517241379310345","2","2","0.5","2","0.2","2","0.16666666666666666","2","0.10344827586206896","2","2","0.5","2","0.2","2","0.16666666666666666","2","0.3216337604513384","2","2","0.5","2","0.2","2","0.16666666666666666","2"
"0","Package","0.020618556701030927","4","4","0.5","4","0.2","4","0.16666666666666666","4","0.515","3","3","0.5","3","0.2","3","0.16666666666666666","3","0.03","3","3","0.5","3","0.2","3","0.16666666666666666","3","0.1732050807568877","4","4","0.5","4","0.2","4","0.16666666666666666","4"
"0","StrongReferences","0.11764705882352941","2","2","1.0","2","0.26666666666666666","2","0.26666666666666666","2","0.29166666666666663","4","4","1.0","4","0.26666666666666666","4","0.26666666666666666","4","1.6665000166650003E-5","4","4","1.0","4","0.26666666666666666","4","0.26666666666666666","4","0.2886751345948129","3","3","1.0","3","0.26666666666666666","3","0.26666666666666666","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
"OCL9",""
"Buggy Rule","Rule","Mountford","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Kulcynski2","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Zoltar","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking","Ochiai","Original Ranking","Inheritance Ranking","CC","CC Static Ranking","RC","RC Static Ranking","RCR","RCR Static Ranking"
"1","WeakReferences","0.0","5","5","0.8461538461538461","5","0.6875","5","0.6111111111111112","5","0.0","5","5","0.8461538461538461","5","0.6875","5","0.6111111111111112","5","0.0","5","5","0.8461538461538461","5","0.6875","5","0.6111111111111112","5","0.0","5","5","0.8461538461538461","5","0.6875","5","0.6111111111111112","5"
"0","Attributes","0.2","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1","0.6153846153846154","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1","0.23076923076923078","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1","0.48038446141526137","1","1","0.6923076923076923","1","0.6923076923076923","1","0.5","1"
"0","Class","0.07692307692307693","3","3","0.46153846153846156","3","0.6","3","0.35294117647058826","3","0.5517241379310345","2","2","0.46153846153846156","2","0.6","2","0.35294117647058826","2","0.10344827586206896","2","2","0.46153846153846156","2","0.6","2","0.35294117647058826","2","0.3216337604513384","2","2","0.46153846153846156","2","0.6","2","0.35294117647058826","2"
"0","Package","0.020618556701030927","4","4","0.3076923076923077","4","0.4","4","0.21052631578947367","4","0.515","3","3","0.3076923076923077","3","0.4","3","0.21052631578947367","3","0.03","3","3","0.3076923076923077","3","0.4","3","0.21052631578947367","3","0.1732050807568877","4","4","0.3076923076923077","4","0.4","4","0.21052631578947367","4"
"0","StrongReferences","0.11764705882352941","2","2","0.8461538461538461","2","0.7333333333333333","2","0.5789473684210527","2","0.29166666666666663","4","4","0.8461538461538461","4","0.7333333333333333","4","0.5789473684210527","4","1.6665000166650003E-5","4","4","0.8461538461538461","4","0.7333333333333333","4","0.5789473684210527","4","0.2886751345948129","3","3","0.8461538461538461","3","0.7333333333333333","3","0.5789473684210527","3"
" ","EXAM-BC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-WC"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
" ","EXAM-AVG"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"," ","1.0","1.0"," ","1.0"," ","1.0"," ","1.0"
